Category,Month,Quarter,"Sub Category",Type,Year,Actual,Actual_[0],"Actual (copy)",Back,Budget,Budget_[0],"Budget (copy)","Cal_GP Actual","Cal_GP Budget","Cal_Rev Actual","Cal_Rev Budget","Number of Records"
"Transportation - International",Mar,Quarter1,,Revenue,2016,"21,54,945","$2,154,945","$2,154,945",$0,"13,75,000","$1,375,000","$1,375,000",,,"21,54,945","13,75,000",1
Warehouse,Mar,Quarter1,,Revenue,2016,"3,23,997","$323,997","$323,997",$0,"3,10,000","$310,000","$310,000",,,"3,23,997","3,10,000",1
"Claims COGS",Apr,Quarter2,,"Cost of Sales",2016,"5,561","$5,561","$5,561",$0,"9,500","$9,500","$9,500",,,,,1
Fulfillment,Apr,Quarter2,,"Cost of Sales",2016,0,$0,$0,$0,0,$0,$0,,,,,1
"PDG Diesel",Apr,Quarter2,,"Cost of Sales",2016,0,$0,$0,$0,0,$0,$0,,,,,1
"Transportation - Domestic",Apr,Quarter2,,"Cost of Sales",2016,"25,03,993","$2,503,993","$2,503,993",$0,"28,20,128","$2,820,128","$2,820,128",,,,,1
"Transportation - International",Apr,Quarter2,,"Cost of Sales",2016,"16,01,436","$1,601,436","$1,601,436",$0,"11,37,125","$1,137,125","$1,137,125",,,,,1
Warehouse,Apr,Quarter2,,"Cost of Sales",2016,"72,063","$72,063","$72,063",$0,"1,70,500","$170,500","$170,500",,,,,1
"Warehouse Allocation",Apr,Quarter2,,"Cost of Sales",2016,0,$0,$0,$0,0,$0,$0,,,,,1
"Claims COGS",Jun,Quarter2,,"Cost of Sales",2016,"5,742","$5,742","$5,742",$0,"9,500","$9,500","$9,500",,,,,1
Fulfillment,Jun,Quarter2,,"Cost of Sales",2016,0,$0,$0,$0,0,$0,$0,,,,,1
"PDG Diesel",Jun,Quarter2,,"Cost of Sales",2016,0,$0,$0,$0,0,$0,$0,,,,,1
"Transportation - Domestic",Jun,Quarter2,,"Cost of Sales",2016,"31,99,987","$3,199,987","$3,199,987",$0,"32,47,878","$3,247,878","$3,247,878",,,,,1
"Transportation - International",Jun,Quarter2,,"Cost of Sales",2016,"17,45,701","$1,745,701","$1,745,701",$0,"11,57,800","$1,157,800","$1,157,800",,,,,1
Warehouse,Jun,Quarter2,,"Cost of Sales",2016,"1,66,572","$166,572","$166,572",$0,"1,73,250","$173,250","$173,250",,,,,1
"Warehouse Allocation",Jun,Quarter2,,"Cost of Sales",2016,0,$0,$0,$0,0,$0,$0,,,,,1
"Claims COGS",May,Quarter2,,"Cost of Sales",2016,"5,915","$5,915","$5,915",$0,"9,500","$9,500","$9,500",,,,,1
Fulfillment,May,Quarter2,,"Cost of Sales",2016,0,$0,$0,$0,0,$0,$0,,,,,1
"PDG Diesel",May,Quarter2,,"Cost of Sales",2016,0,$0,$0,$0,0,$0,$0,,,,,1
"Transportation - Domestic",May,Quarter2,,"Cost of Sales",2016,"24,20,782","$2,420,782","$2,420,782",$0,"29,67,303","$2,967,303","$2,967,303",,,,,1
"Transportation - International",May,Quarter2,,"Cost of Sales",2016,"14,17,638","$1,417,638","$1,417,638",$0,"11,57,800","$1,157,800","$1,157,800",,,,,1
Warehouse,May,Quarter2,,"Cost of Sales",2016,"1,81,486","$181,486","$181,486",$0,"1,73,250","$173,250","$173,250",,,,,1
"Warehouse Allocation",May,Quarter2,,"Cost of Sales",2016,0,$0,$0,$0,0,$0,$0,,,,,1
EBITDA,Apr,Quarter2,,EBITDA,2016,"1,85,089","$185,089","$185,089",$0,"1,89,085","$189,085","$189,085",,,,,1
EBITDA,Jun,Quarter2,,EBITDA,2016,"5,37,258","$537,258","$537,258",$0,"3,35,824","$335,824","$335,824",,,,,1
EBITDA,May,Quarter2,,EBITDA,2016,"2,65,047","$265,047","$265,047",$0,"2,48,705","$248,705","$248,705",,,,,1
"Gross Profit",Apr,Quarter2,,"Gross Profit",2016,"14,80,282","$1,480,282","$1,480,282",$0,"14,51,372","$1,451,372","$1,451,372","14,80,282","14,51,372",,,1
"Gross Profit",Jun,Quarter2,,"Gross Profit",2016,"19,28,555","$1,928,555","$1,928,555",$0,"16,20,197","$1,620,197","$1,620,197","19,28,555","16,20,197",,,1
"Gross Profit",May,Quarter2,,"Gross Profit",2016,"15,27,812","$1,527,812","$1,527,812",$0,"15,13,772","$1,513,772","$1,513,772","15,27,812","15,13,772",,,1
"Net Income",Apr,Quarter2,,"Net Income",2016,"1,08,784","$108,784","$108,784",$0,"84,450","$84,450","$84,450",,,,,1
"Net Income",Jun,Quarter2,,"Net Income",2016,"2,98,294","$298,294","$298,294",$0,"1,79,648","$179,648","$179,648",,,,,1
"Net Income",May,Quarter2,,"Net Income",2016,"7,211","$7,211","$7,211",$0,"1,22,150","$122,150","$122,150",,,,,1
"Total Depreciation",Apr,Quarter2,"Total Depreciation","Operating Expenses",2016,"22,819","$22,819","$22,819",$0,"24,630","$24,630","$24,630",,,,,1
"Total General & Administration",Apr,Quarter2,"Advertising & Promotion","Operating Expenses",2016,"4,376","$4,376","$4,376",$0,0,$0,$0,,,,,1
"Total General & Administration",Apr,Quarter2,"Bad Debt","Operating Expenses",2016,"-1,066","-$1,066","-$1,066",$0,0,$0,$0,,,,,1
"Total General & Administration",Apr,Quarter2,"Charitable Contributions","Operating Expenses",2016,500,$500,$500,$0,0,$0,$0,,,,,1
"Total General & Administration",Apr,Quarter2,Communication,"Operating Expenses",2016,"35,493","$35,493","$35,493",$0,"35,000","$35,000","$35,000",,,,,1
"Total General & Administration",Apr,Quarter2,"Dues, Licenses, & Fees","Operating Expenses",2016,"30,851","$30,851","$30,851",$0,"29,500","$29,500","$29,500",,,,,1
"Total General & Administration",Apr,Quarter2,"Equipment Rental","Operating Expenses",2016,"2,500","$2,500","$2,500",$0,"3,000","$3,000","$3,000",,,,,1
"Total General & Administration",Apr,Quarter2,"Gains and Losses","Operating Expenses",2016,"-3,156","-$3,156","-$3,156",$0,0,$0,$0,,,,,1
"Total General & Administration",Apr,Quarter2,Insurance,"Operating Expenses",2016,"16,920","$16,920","$16,920",$0,"17,500","$17,500","$17,500",,,,,1
"Total General & Administration",Apr,Quarter2,"Leased Equipment","Operating Expenses",2016,"8,987","$8,987","$8,987",$0,"8,850","$8,850","$8,850",,,,,1
"Total General & Administration",Apr,Quarter2,"Legal Settlement","Operating Expenses",2016,0,$0,$0,$0,0,$0,$0,,,,,1
"Total General & Administration",Apr,Quarter2,"Office Expenses/Supplies","Operating Expenses",2016,"20,313","$20,313","$20,313",$0,"18,000","$18,000","$18,000",,,,,1
"Total General & Administration",Apr,Quarter2,"Outside Services","Operating Expenses",2016,"51,212","$51,212","$51,212",$0,"45,000","$45,000","$45,000",,,,,1
"Total General & Administration",Apr,Quarter2,"Repairs & Maintenance Equipment","Operating Expenses",2016,"1,845","$1,845","$1,845",$0,"1,250","$1,250","$1,250",,,,,1
"Total General & Administration",Apr,Quarter2,"Software Support","Operating Expenses",2016,"30,727","$30,727","$30,727",$0,"29,000","$29,000","$29,000",,,,,1
"Total General & Administration",Apr,Quarter2,"Training and Development","Operating Expenses",2016,"2,239","$2,239","$2,239",$0,0,$0,$0,,,,,1
"Total Labor",Apr,Quarter2,Bonus,"Operating Expenses",2016,"20,300","$20,300","$20,300",$0,"15,000","$15,000","$15,000",,,,,1
"Total Labor",Apr,Quarter2,Commissions,"Operating Expenses",2016,"81,083","$81,083","$81,083",$0,"61,475","$61,475","$61,475",,,,,1
"Total Labor",Apr,Quarter2,"Contract & Temporary Labor","Operating Expenses",2016,"35,838","$35,838","$35,838",$0,"40,000","$40,000","$40,000",,,,,1
"Total Labor",Apr,Quarter2,"Employee Benefits","Operating Expenses",2016,"64,829","$64,829","$64,829",$0,"1,15,000","$115,000","$115,000",,,,,1
"Total Labor",Apr,Quarter2,"Payroll Tax","Operating Expenses",2016,"58,273","$58,273","$58,273",$0,"62,909","$62,909","$62,909",,,,,1
"Total Labor",Apr,Quarter2,"Salaries & Wages","Operating Expenses",2016,"6,76,667","$676,667","$676,667",$0,"6,69,105","$669,105","$669,105",,,,,1
"Total Occupancy Cost",Apr,Quarter2,"Building Operating Costs","Operating Expenses",2016,"24,197","$24,197","$24,197",$0,"25,699","$25,699","$25,699",,,,,1
